_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-14,M39125,M1,1,0,Cell Type Signatures,7,AIZARANI LIVER C24 EPCAM POS BILE DUCT CELLS 3,,-14,57,22,30286,185,26,9,35,9.3,3855|4070|4680|6277|6659|6662|25825|27242|135656,KRT7|TACSTD2|CEACAM6|S100A6|SOX4|SOX9|BACE2|TNFRSF21|MUCL3,-9,0
1,-12,M39135,M1,1,0,Cell Type Signatures,7,AIZARANI LIVER C39 EPCAM POS BILE DUCT CELLS 4,,-12,51,20,30286,184,26,8,31,9.1,3855|3918|4070|4233|6277|6659|6662|27242,KRT7|LAMC2|TACSTD2|MET|S100A6|SOX4|SOX9|TNFRSF21,-7.4,0
1,-9.3,M39111,M1,1,0,Cell Type Signatures,7,AIZARANI LIVER C7 EPCAM POS BILE DUCT CELLS 2,,-9.3,37,16,30286,219,26,7,27,8.7,3855|3918|4070|6277|6659|6662|25825,KRT7|LAMC2|TACSTD2|S100A6|SOX4|SOX9|BACE2,-5.3,0
1,-8.9,M40175,M1,1,0,Cell Type Signatures,7,DESCARTES FETAL EYE CORNEAL AND CONJUNCTIVAL EPITHELIAL CELLS,,-8.9,34,15,30286,243,26,7,27,8.7,3855|4070|4680|6277|6286|9052|23650,KRT7|TACSTD2|CEACAM6|S100A6|S100P|GPRC5A|TRIM29,-5.1,0
1,-7.5,M41659,M1,1,0,Cell Type Signatures,7,TRAVAGLINI LUNG ALVEOLAR EPITHELIAL TYPE 1 CELL,,-7.5,21,12,30286,391,26,7,27,8.7,1295|2335|3855|3918|4070|4680|9052,COL8A1|FN1|KRT7|LAMC2|TACSTD2|CEACAM6|GPRC5A,-3.9,0
1,-6.9,M39174,M1,1,0,Cell Type Signatures,7,MURARO PANCREAS ACINAR CELL,,-6.9,13,9.4,30286,731,26,8,31,9.1,3855|4070|4233|6659|6662|9052|25825|55785,KRT7|TACSTD2|MET|SOX4|SOX9|GPRC5A|BACE2|FGD6,-3.4,0
1,-6.7,M40228,M1,1,0,Cell Type Signatures,7,DESCARTES FETAL LIVER MESOTHELIAL CELLS,,-6.7,23,11,30286,310,26,6,23,8.3,1295|1301|3855|3918|7162|23213,COL8A1|COL11A1|KRT7|LAMC2|TPBG|SULF1,-3.2,0
1,-6.3,M39108,M1,1,0,Cell Type Signatures,7,AIZARANI LIVER C4 EPCAM POS BILE DUCT CELLS 1,,-6.3,30,12,30286,191,26,5,19,7.7,3855|4070|6659|6662|25825,KRT7|TACSTD2|SOX4|SOX9|BACE2,-2.8,0
1,-6,M40145,M1,1,0,Cell Type Signatures,7,DESCARTES FETAL ADRENAL CSH1 CSH2 POSITIVE CELLS,,-6,27,11,30286,218,26,5,19,7.7,2153|3855|4233|6286|23650,F5|KRT7|MET|S100P|TRIM29,-2.7,0
1,-5.9,M40013,M1,1,0,Cell Type Signatures,7,BUSSLINGER GASTRIC MATURE PIT CELLS,,-5.9,26,11,30286,224,26,5,19,7.7,4070|6277|6286|27242|135656,TACSTD2|S100A6|S100P|TNFRSF21|MUCL3,-2.6,0
