_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-4.1,M14351,M1,1,0,Transcription Factor Targets,16,AFP1 Q6,,-4.1,17,7.9,30286,268,26,4,15,7.1,1295|6659|23213|25825,COL8A1|SOX4|SULF1|BACE2,-1.5,0
1,-3.3,M10112,M1,1,0,Transcription Factor Targets,16,RNGTGGGC UNKNOWN,,-3.3,7.4,5.3,30286,784,26,5,19,7.7,1295|6659|7162|23650|26112,COL8A1|SOX4|TPBG|TRIM29|CCDC69,-0.87,0
1,-3,M15595,M1,1,0,Transcription Factor Targets,16,CART1 01,,-3,15,6.3,30286,229,26,3,12,6.3,4070|6659|25825,TACSTD2|SOX4|BACE2,-0.67,0
1,-3,M3572,M1,1,0,Transcription Factor Targets,16,LEF1 Q2,,-3,15,6.3,30286,231,26,3,12,6.3,1301|4070|22943,COL11A1|TACSTD2|DKK1,-0.66,0
1,-2.9,M8816,M1,1,0,Transcription Factor Targets,16,PAX4 02,,-2.9,15,6.2,30286,241,26,3,12,6.3,4070|6659|25825,TACSTD2|SOX4|BACE2,-0.62,0
1,-2.9,M6052,M1,1,0,Transcription Factor Targets,16,YCATTAA UNKNOWN,,-2.9,8.2,5.1,30286,567,26,4,15,7.1,4070|6659|23213|84978,TACSTD2|SOX4|SULF1|FRMD5,-0.57,0
1,-2.9,M4896,M1,1,0,Transcription Factor Targets,16,CEBPA 01,,-2.9,14,6,30286,256,26,3,12,6.3,2153|23213|84978,F5|SULF1|FRMD5,-0.56,0
1,-2.8,M14626,M1,1,0,Transcription Factor Targets,16,GFI1 01,,-2.8,13,5.8,30286,265,26,3,12,6.3,6659|6662|7162,SOX4|SOX9|TPBG,-0.53,0
1,-2.8,M7937,M1,1,0,Transcription Factor Targets,16,AP1 C,,-2.8,13,5.7,30286,276,26,3,12,6.3,3918|4233|84978,LAMC2|MET|FRMD5,-0.49,0
1,-2.8,M40770,M1,1,0,Transcription Factor Targets,16,ATXN7L3 TARGET GENES,,-2.8,12,5.6,30286,281,26,3,12,6.3,4233|6277|55785,MET|S100A6|FGD6,-0.48,0
1,-2.6,M8942,M1,1,0,Transcription Factor Targets,16,GCTNWTTGK UNKNOWN,,-2.6,11,5.3,30286,310,26,3,12,6.3,6659|6662|27242,SOX4|SOX9|TNFRSF21,-0.38,0
1,-2.5,M822,M1,1,0,Transcription Factor Targets,16,YTATTTTNR MEF2 02,,-2.5,6.5,4.4,30286,715,26,4,15,7.1,1295|6659|7162|84978,COL8A1|SOX4|TPBG|FRMD5,-0.29,0
1,-2.4,M16022,M1,1,0,Transcription Factor Targets,16,CTAWWWATA RSRFC4 Q2,,-2.4,9.5,4.8,30286,366,26,3,12,6.3,1295|1300|6662,COL8A1|COL10A1|SOX9,-0.22,0
