GeneSymbol,CCDC69,FGD6,SOX4,LAMC2,TACSTD2,TRIM29,SOX9,TPBG,MET,CEACAM6,COL11A1,S100P,DKK1,F5,COL10A1,KRT7,FN1,SULF1,GPRC5A,TNFRSF21,COL8A1,BACE2,S100A6,FRMD5,Results
GSM2349019,6.738251593,4.549169922,6.108567118,4.156697221,4.656119142,3.989205563,5.365797742,4.707696664,4.635440773,5.486867553,4.297668678,5.641406996,4.733485041,5.372354873,3.726515699,4.186125248,5.263535428,6.37551531,4.276490118,5.190165111,4.822481917,6.015567726,8.758026684,4.399735655,0
GSM2349020,7.072958155,4.528958496,6.265787585,5.01060818,4.405681113,3.866509327,4.893197441,5.614811493,4.500779841,6.018950199,4.511539959,6.472779204,4.581361001,4.862048988,3.983740641,4.479858194,5.125493322,6.254907653,4.363370034,4.807014321,4.452679357,5.91842909,8.745883882,3.596419826,0
GSM2349021,6.798931879,3.813046773,5.894220665,4.478373585,4.968648161,3.397109142,4.814469251,5.075702036,4.275187001,5.270295061,3.51403676,6.152015881,5.391626694,4.995966538,3.733171894,3.956915136,4.790491656,5.51341075,4.896741406,5.122722063,3.827544467,5.754045063,6.877545869,3.899206206,0
GSM2349022,7.092804188,3.436678377,5.944107396,4.756637551,5.019056673,3.393113823,4.412137559,5.470248165,4.652949421,5.126717063,3.956252663,5.416882122,5.061553134,4.871812076,3.676130888,4.927931234,4.113980791,5.438981361,4.540622672,5.012036787,5.058207743,6.36312026,7.028342867,4.212995443,0
GSM2349023,6.98494486,3.119413883,5.918883056,4.151468526,5.122443222,4.056527118,3.824814185,4.581189341,4.609800438,4.969336394,3.412013537,6.20928518,4.275410209,4.812180194,4.143186758,5.514139227,5.88631262,5.065741502,4.759610281,5.447244189,3.450221884,5.216214684,7.092283088,4.313617201,0
GSM2349024,7.173970139,3.502530167,6.124385032,4.080653342,4.299072282,3.775423885,4.647140528,5.565266186,4.263456642,5.154955846,3.677002427,6.376729966,4.005157586,5.189883883,4.490605037,4.548915063,3.98507258,4.851277589,4.195109855,4.752338163,4.081168154,5.882805397,6.45853172,3.553291888,0
GSM2349025,7.180530025,3.795164101,6.016289773,3.906582076,4.592974965,3.967609398,4.732744716,4.503548671,4.375286692,5.461337659,3.739234112,7.279177676,4.918929828,5.37343813,4.079183229,4.729053159,4.00368274,5.460274003,4.68280787,5.258133895,3.362389928,6.233677847,7.88712035,4.942960618,0
GSM2349026,6.416434634,3.311418413,5.93337456,4.103143911,4.322835023,3.962238287,4.662419387,5.080033339,4.559187072,5.375883929,3.780599672,5.699516579,4.246861688,5.517778706,3.806656745,5.255093914,4.255826251,5.651892539,4.103272183,4.815227668,3.722331876,5.627253452,8.014688872,3.866071904,0
GSM2349027,7.365648568,3.29383178,7.333209542,4.587307624,3.682922218,3.807166172,5.123609159,4.708078677,4.069095846,5.266507451,3.672713412,5.932788974,3.95813563,4.462683623,3.455584503,4.168394631,4.21954728,5.699092446,4.414741001,4.559814575,4.435699784,5.751810572,10.26420877,3.291937666,0
GSM2349028,7.381397535,3.073956775,7.034845315,4.065401176,3.535652991,3.836722008,4.514298307,3.537577026,4.052331175,4.868025441,3.429272307,5.557215176,3.774515616,4.194511138,3.244640033,4.699190252,5.748948128,5.678408745,4.190990174,5.269348604,4.075923824,5.923841138,10.7778261,3.387011546,0
