ID,X1555137_a_at,X1559360_at,X201250_s_at,X201286_at,X201417_at,X201590_x_at,X202267_at,X202403_s_at,X202504_at,X202935_s_at,X203074_at,X203083_at,X203476_at,X203510_at,X204351_at,X204602_at,X204713_s_at,X205266_at,X205780_at,X205927_s_at,X207714_s_at,X209114_at,X209173_at,X211657_at,X211719_x_at,X212236_x_at,X212354_at,X212886_at,X212942_s_at,X216442_x_at,X217428_s_at,X219901_at,X228923_at,X228933_at,X229553_at,X232202_at,X233090_at,X235629_at,X236129_at,X33323_r_at,group
GSM388076.CEL.gz,5.722028164,4.350729856,7.001617622,5.826082024,8.540337821,12.11549324,5.284655503,11.64614194,5.051355621,2.830994619,4.996230582,8.142488388,7.524458081,6.698673136,6.429468516,4.809922721,4.827787582,5.424684666,4.904910705,5.143332763,9.160209397,6.122050104,4.895196723,4.11930143,9.152592122,6.184861109,5.626667645,7.56942007,4.266232732,9.235447961,3.540391155,6.278246558,4.270389818,5.300633912,7.818593376,3.967507227,6.360872255,4.053118891,4.450216657,5.94837342,Normal
GSM388077.CEL.gz,5.75023735,4.755976241,6.957738846,5.690254414,8.529720905,11.91976655,5.922176035,11.81611455,4.568964324,3.364792641,4.77092052,8.327149075,7.459799922,6.969471477,6.518603687,5.610841083,4.988802362,5.210142841,5.226699922,5.59398863,9.445984383,5.774050946,3.942773567,3.857528847,9.078608358,6.191294331,5.427164536,7.739783876,4.329945419,9.211997867,3.369459869,6.285120549,4.092893325,5.467316764,7.610557569,4.001123296,6.226470044,3.823522671,4.353564996,5.355300658,Normal
GSM388078.CEL.gz,4.860501522,3.452982277,6.811745969,7.158865757,7.537964362,11.11188938,6.62476058,9.265607358,5.967584274,8.914325557,6.469908026,5.882929788,6.919460096,6.858445453,4.564367432,3.892757668,5.700835378,5.952978848,6.235951387,6.920914454,7.007949887,6.968234968,6.869403877,5.387407336,7.606316602,6.910575333,4.887479297,8.302863746,3.747654882,7.83078358,3.938089243,5.277426959,5.027253769,4.482917982,5.834620516,4.972815057,5.535481527,3.328110219,5.005671613,5.686899077,Normal
GSM388079.CEL.gz,4.657288199,3.187692735,6.647454175,6.856027521,7.618427965,10.88902373,6.461323345,9.210534991,5.795253123,8.585003124,6.079857039,5.802066927,7.11740011,7.034283643,5.334297314,3.890173497,5.907914431,5.89547808,5.529022585,5.760609578,6.486818168,6.463898713,6.406967641,6.181046535,7.358474483,6.968362941,5.124298349,8.30523738,3.54427188,7.750348888,3.463013479,5.460677507,4.286890297,4.113220043,5.624316108,4.645251365,4.938461854,3.38263566,4.368096455,6.231723669,Normal
GSM388080.CEL.gz,4.886488235,3.216863442,6.948384461,7.139534112,7.801319184,11.13218796,6.256839871,8.988432081,6.246326737,8.471823352,6.761783299,6.042036261,7.211481972,6.84050446,6.318685363,4.129855616,5.94648452,5.745750354,6.587105718,8.265672223,6.893202164,6.92161999,8.499997092,8.232399983,6.857440661,6.723967857,4.679209038,7.707536303,4.566059229,7.01229563,3.634731609,5.232903088,4.841856584,4.405728598,6.093972542,4.786214417,6.09697636,3.089730034,4.571002523,6.093216131,Normal
GSM388081.CEL.gz,4.852803183,3.1296332,6.714492527,6.811120515,7.55164132,10.91625339,6.448345511,8.633377661,6.207069919,7.898668988,5.960012788,5.777482735,6.804602664,6.846531755,5.81622835,3.988055931,6.250949683,5.998170753,6.335629562,8.408402706,6.494609817,7.204602902,8.414869375,8.23697205,6.815437633,7.122696531,4.597389918,7.799976804,4.542201053,7.558789034,3.596112771,5.320002,4.936091316,3.841021362,6.0567877,4.839720862,5.803385431,3.616793667,4.573847399,6.455501674,Normal
GSM388082.CEL.gz,4.566093894,3.211559835,6.848580546,6.613427231,8.035845928,10.66228901,6.554469446,8.344857313,6.163887247,8.449087435,6.451299578,5.894258888,6.895988237,7.103704437,4.874746248,3.708509184,5.775668778,6.050726814,6.182151641,6.430733763,6.604015187,6.401081743,7.726522824,6.30440422,7.105755618,6.87134113,4.482796242,8.047392813,4.335272456,7.134106216,3.741710171,5.621883923,4.402035625,4.237440367,5.992201813,4.602395425,5.181248956,3.383491282,4.710604228,5.855449308,Normal
GSM388083.CEL.gz,4.589198063,3.381144313,7.011007094,7.019117162,7.857332101,11.5014662,6.237737772,10.31193965,5.150393451,4.255846102,5.210573855,6.875203824,8.117723688,7.269898797,6.399231818,4.188984341,5.917604198,6.688380279,6.800348017,6.287464369,7.616510139,6.390047867,4.054873803,5.669989369,9.954042318,5.711082106,6.685824682,8.065873631,11.31965366,9.808503722,3.989999774,5.216944713,4.113797133,4.727600931,6.986086547,3.97929578,5.191560417,4.8352332,4.187710084,5.551623302,Normal
GSM388084.CEL.gz,4.659039102,3.27562233,7.030128551,6.830838839,6.876943529,10.97449089,6.399997101,9.133694433,5.339361517,8.684112169,6.235819726,5.689938253,6.675806694,6.835799824,4.388699703,3.934697633,5.766029383,5.935100209,5.806418431,5.971739165,6.973780352,7.397300166,7.087131544,5.202808823,8.470103149,6.583047561,5.501477922,7.991528255,4.053118891,8.67861564,3.778177404,5.301317988,4.454344653,3.727062377,5.528545863,4.500114666,4.96101765,3.51966845,4.859684415,6.099492918,Normal
GSM388085.CEL.gz,6.065050833,3.76882833,8.226586065,7.73784579,9.456097905,12.92270089,9.258060211,13.73785981,8.614112532,7.225480641,7.596384955,10.91412485,9.087423626,8.775848242,9.309831027,7.512063914,6.288321782,8.372633123,7.210416266,10.21929264,9.971688041,8.704074038,7.700796116,10.51920367,13.01633841,8.86173774,10.36163185,7.295691369,9.137310202,13.07271859,9.350136908,6.68228487,5.420340267,6.250052698,8.345795473,5.266860838,7.996450973,8.328544768,5.342557717,10.08671484,Normal
