ID,X1553102_a_at,X1555136_at,X1555137_a_at,X201417_at,X202267_at,X202286_s_at,X202504_at,X202935_s_at,X203476_at,X203510_at,X203757_s_at,X204320_at,X204351_at,X204602_at,X204713_s_at,X205941_s_at,X209016_s_at,X211719_x_at,X212354_at,X212444_at,X212464_s_at,X216442_x_at,X218856_at,X219901_at,X226237_at,X227051_at,X228923_at,X229479_at,X230831_at,X241137_at,X242397_at,group
GSM388076.CEL.gz,7.277901938,4.010923868,5.722028164,8.540337821,5.284655503,5.827371546,5.051355621,2.830994619,7.524458081,6.698673136,4.281033605,4.144594688,6.429468516,4.809922721,4.827787582,4.959912295,3.582163909,9.152592122,5.626667645,4.726602159,8.942082182,9.235447961,9.806422455,6.278246558,4.011116436,6.732714708,4.270389818,3.487453988,3.789970996,3.401879464,4.430225683,Normal
GSM388077.CEL.gz,7.269408833,4.149645806,5.75023735,8.529720905,5.922176035,5.876182712,4.568964324,3.364792641,7.459799922,6.969471477,4.246780987,3.601028944,6.518603687,5.610841083,4.988802362,4.872228305,4.016824084,9.078608358,5.427164536,4.487027005,8.924379549,9.211997867,9.722356892,6.285120549,4.337798051,7.148761639,4.092893325,3.37828639,3.475457611,3.48980665,4.412037698,Normal
GSM388078.CEL.gz,7.37985562,3.196123105,4.860501522,7.537964362,6.62476058,9.277213154,5.967584274,8.914325557,6.919460096,6.858445453,5.910679623,4.208709977,4.564367432,3.892757668,5.700835378,5.577986536,5.344354095,7.606316602,4.887479297,4.834792472,7.454164298,7.83078358,7.835435422,5.277426959,3.582580054,4.831287234,5.027253769,3.586057914,3.704031897,3.639281916,4.027250589,Normal
GSM388079.CEL.gz,7.328393191,3.63597786,4.657288199,7.618427965,6.461323345,9.371416881,5.795253123,8.585003124,7.11740011,7.034283643,5.480579029,4.132351775,5.334297314,3.890173497,5.907914431,5.665633644,5.552344801,7.358474483,5.124298349,5.311483894,7.027822386,7.750348888,7.599084664,5.460677507,3.893846218,5.047479287,4.286890297,3.758360388,3.497060097,3.519878077,4.831480913,Normal
GSM388080.CEL.gz,6.804703272,3.588759461,4.886488235,7.801319184,6.256839871,9.226379741,6.246326737,8.471823352,7.211481972,6.84050446,7.484452356,4.466737348,6.318685363,4.129855616,5.94648452,5.996399828,5.615741705,6.857440661,4.679209038,4.849694484,6.999602463,7.01229563,7.36124867,5.232903088,4.169185042,4.812441188,4.841856584,3.622066248,3.415450631,3.675098683,3.691250178,Normal
GSM388081.CEL.gz,7.252171504,3.377289433,4.852803183,7.55164132,6.448345511,8.858376753,6.207069919,7.898668988,6.804602664,6.846531755,7.563178482,4.42056301,5.81622835,3.988055931,6.250949683,5.620244845,5.598024338,6.815437633,4.597389918,5.237471115,6.968115568,7.558789034,7.118436131,5.320002,3.789721001,4.798723164,4.936091316,3.632437916,3.519556142,4.42936838,4.189303618,Normal
GSM388082.CEL.gz,7.173694333,3.417273979,4.566093894,8.035845928,6.554469446,9.807059632,6.163887247,8.449087435,6.895988237,7.103704437,5.53116794,3.580394519,4.874746248,3.708509184,5.775668778,5.895315665,5.586364894,7.105755618,4.482796242,6.172725562,6.926687563,7.134106216,7.289978975,5.621883923,3.956642839,4.898184157,4.402035625,3.93178651,3.5252714,3.801390704,4.899510274,Normal
GSM388083.CEL.gz,7.369936088,3.78546024,4.589198063,7.857332101,6.237737772,6.214352261,5.150393451,4.255846102,8.117723688,7.269898797,5.350466889,3.60274826,6.399231818,4.188984341,5.917604198,4.925579095,3.613641295,9.954042318,6.685824682,5.639102937,9.592706142,9.808503722,9.347748018,5.216944713,4.083521375,7.304965888,4.113797133,2.978194669,3.59698551,3.870797001,4.582488362,Normal
GSM388084.CEL.gz,6.97261992,3.410468884,4.659039102,6.876943529,6.399997101,9.321212907,5.339361517,8.684112169,6.675806694,6.835799824,5.20370436,4.032867142,4.388699703,3.934697633,5.766029383,5.473938187,6.22222434,8.470103149,5.501477922,5.068679435,8.216238665,8.67861564,7.600359655,5.301317988,3.894906769,5.309203186,4.454344653,4.036564157,3.459660795,3.572631219,4.666093995,Normal
GSM388085.CEL.gz,6.963380452,4.568603814,6.065050833,9.456097905,9.258060211,11.2708849,8.614112532,7.225480641,9.087423626,8.775848242,10.34338646,7.773711235,9.309831027,7.512063914,6.288321782,9.603635212,8.350027884,13.01633841,10.36163185,8.331012285,12.89391791,13.07271859,9.233466112,6.68228487,9.763960386,6.126316734,5.420340267,7.256055886,4.572480714,5.085404112,10.98472647,Normal
GSM388086.CEL.gz,8.028130171,3.129645832,4.667303706,7.850132487,6.126422549,4.204847899,5.134047286,7.445995303,7.841041068,7.346492361,7.619278201,3.445667841,7.245460561,3.994795315,6.03903134,4.589231661,4.270028776,12.03124901,8.401282342,6.967283447,11.73262817,12.09873898,8.798868985,5.441255535,6.440780002,4.213556142,4.77868261,3.13517837,3.725782729,3.683860024,5.290686222,Normal
GSM388087.CEL.gz,6.125982687,3.48943008,4.753678293,8.383289346,6.880531602,6.204593462,5.689405897,8.991567896,7.242283542,8.733037988,9.419488763,3.765185754,7.509065922,3.797370295,5.883646267,5.144991714,4.281963979,9.039576896,6.860786725,8.646317069,8.984695535,9.15835983,9.298354925,5.233510972,3.699720742,5.640238026,5.965014808,3.088724565,3.769924216,3.710033328,5.336226405,Normal
GSM388088.CEL.gz,6.300912014,2.865120102,4.202951999,8.050210333,6.297514572,5.386130686,5.584143821,9.190072949,7.351747747,8.287821483,9.037833733,4.135747491,7.175544156,4.272027309,6.038447479,4.482315897,4.485032484,9.816385985,7.333689688,8.660505364,9.549995322,9.800414442,8.954964538,4.758368637,4.286043699,5.241997015,6.771744364,3.363408738,3.227969805,3.892587376,5.220387736,Normal
GSM388089.CEL.gz,6.142360783,3.109925085,4.537412221,9.190696785,7.882113323,8.745039946,6.174055219,9.701074997,7.902817983,7.907803948,6.122006432,3.98701615,13.72633446,4.464478125,6.776602172,4.840771896,4.177556849,8.61280437,5.572976197,7.177828835,8.235659889,8.714653524,11.04447509,4.456940156,4.367074324,6.638657191,4.656035289,3.062516864,4.842596646,10.4522939,4.63522078,Normal
GSM388090.CEL.gz,7.2595193,3.693226031,5.057657384,8.778051619,6.315595305,10.46326212,5.486950108,8.023119849,7.579916552,7.470273183,4.739364272,3.598750383,6.8410696,3.726199482,5.644213461,5.216488057,6.415375955,9.910040278,6.883069593,6.366730656,9.426112163,9.731446178,8.71401629,5.822384271,6.504269404,5.317606227,4.140809308,3.445822459,3.239206843,2.966264785,4.243120813,Normal
GSM388091.CEL.gz,6.852503479,3.439096809,5.322207389,9.545551735,6.200598155,7.870795411,6.086570554,7.284499831,9.506405327,7.903048168,8.558241305,5.777785084,8.172389921,3.604880621,4.891528011,7.551035258,4.010053162,11.41666693,9.330484174,7.973549743,11.08393163,11.43277505,8.914685769,5.685938496,9.337711782,6.746803478,4.88223627,2.974259659,3.610549572,3.086016173,5.903638122,Normal
GSM388092.CEL.gz,6.905443631,3.465531482,4.177556849,8.389422937,5.893578818,9.883582434,5.937328047,8.898765199,7.313647563,7.08624337,7.926555546,3.639203502,5.078047676,4.164412732,6.059942264,5.557308997,5.130326729,8.947186761,5.128885783,5.19430975,8.682651817,9.053179717,8.750551602,5.771120669,5.281904372,5.802173889,4.493723412,3.296556185,3.556652925,3.28951868,4.477115153,Normal
GSM388093.CEL.gz,6.72910979,3.42886208,5.091263593,8.639961134,6.566037293,9.377130458,5.54548699,8.732833313,7.732542427,7.217068027,6.321514477,4.138668579,5.204345537,4.06722317,5.537778487,6.661693318,6.22668732,9.505533139,6.042567303,5.88626218,9.296245339,9.442437784,8.311949296,5.809467096,6.62643576,5.47013752,4.413512809,3.479340186,3.342254914,3.896593324,6.11494335,Normal
GSM388094.CEL.gz,7.324418592,4.320578855,5.346463815,7.88107205,6.220750791,10.20650844,6.145461832,8.109719781,6.991482844,7.275652997,6.053654865,4.486936086,5.525872583,4.755517191,5.736843694,5.752150347,5.988933596,7.220760593,4.562464656,5.592618356,6.730312494,7.31908466,8.340505196,6.132412956,4.348975714,5.163932127,4.301164374,3.645965447,4.153757225,4.190302615,4.996640984,Normal
